└─$ ollama list | sort -u
gpt-oss:20b                                                                        17052f91a42e    13 GB     44 hours ago
hf.co/AlicanKiraz0/BaronLLM-v2-OffensiveSecurityLLM-Q8:Q8_0                        98ae5bce74d3    15 GB     6 hours ago
hf.co/AlicanKiraz0/Cybersecurity-BaronLLM_Offensive_Security_LLM_Q6_K_GGUF:Q6_K    5d9630368026    6.6 GB    5 hours ago
hf.co/koesn/ZySec-7B-v2-GGUF:Q4_K_M                                                5a580f8ad895    4.4 GB    3 hours ago
hf.co/mradermacher/CyberSec-Qwen3-DeepSeekv1-GGUF:Q4_K_M                           d271d7071723    5.0 GB    5 hours ago
hf.co/mradermacher/SecGPT-7B-GGUF:Q4_K_M                                           db3bf8e35cf2    4.7 GB    4 hours ago
hf.co/mradermacher/WhiteRabbitNeo-V3-7B-GGUF:Q4_K_M                                2e8e97e889b4    4.7 GB    4 hours ago
hf.co/mradermacher/Yee-R1-mini-GGUF:F16                                            9c660853bc65    3.4 GB    4 hours ago
hf.co/mradermacher/Yee-R1-mini-GGUF:Q4_K_M                                         f9c9f3b8ad50    1.1 GB    4 hours ago
hf.co/segolilylabs/Lily-Cybersecurity-7B-v0.2-GGUF:Q4_K_M                          004b958cffe7    4.4 GB    4 hours ago
hf.co/segolilylabs/Lily-Cybersecurity-7B-v0.2-GGUF:Q5_K_M                          5d663fe09814    5.1 GB    16 hours ago
hoangquan456/qwen3-nothink:8b                                                      0df1c241f68f    5.2 GB    29 hours ago
huihui_ai/baronllm-abliterated:8b                                                  976c91bbc8eb    4.9 GB    29 hours ago
huihui_ai/baronllm-abliterated:latest                                              976c91bbc8eb    4.9 GB    5 hours ago
huihui_ai/deepseek-r1-abliterated:8b                                               5ae823b61e22    5.0 GB    41 hours ago
huihui_ai/gemma3-abliterated:4b                                                    b9620af37e65    8.6 GB    41 hours ago
huihui_ai/qwen2.5-1m-abliterated:7b                                                586aa569dc48    4.7 GB    30 hours ago
huihui_ai/qwen2.5-abliterate:3b                                                    7eac36b0fdba    1.9 GB    30 hours ago
huihui_ai/qwen2.5-abliterate:7b                                                    103482475c9b    4.7 GB    30 hours ago
huihui_ai/qwen2.5-coder-abliterate:3b                                              e8af4a4f6cfa    1.9 GB    30 hours ago
huihui_ai/qwen2.5-coder-abliterate:7b                                              e30ab496af8a    4.7 GB    41 hours ago
huihui_ai/qwen3-abliterated:8b                                                     543f9deff86d    5.0 GB    41 hours ago
jaahas/qwen3-abliterated:4b                                                        7c10c899ba3f    2.5 GB    29 hours ago
jimscard/blackhat-hacker:v2                                                        7ca851d0e11c    9.2 GB    30 hours ago
jimscard/whiterabbit-neo:13b                                                       25db98194be7    9.2 GB    42 hours ago
kangali/room-coder:latest                                                          13cc07509351    4.7 GB    30 hours ago
lazarevtill/Llama-3-WhiteRabbitNeo-8B-v2.0:q4_0                                    fd7d52abaf77    4.9 GB    17 hours ago
lazarevtill/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B:4b-it-q4_K_M                      d7dcc2ba8477    5.2 GB    17 hours ago
lazarevtill/WhiteRabbitNeo-2.5-Qwen-2.5-Coder-7B:latest                            6ef6025314ad    15 GB     29 hours ago
llama3.1:8b                                                                        46e0c10c039e    4.9 GB    46 hours ago
loading_ctf/ctf-player_elona_2:latest                                              641caaae3f4d    2.7 GB    3 hours ago
loading_ctf/ctf-player_elona:latest                                                865482d0a139    4.4 GB    17 hours ago
loading_ctf/ctf_solver_Elona-Pro:latest                                            4fc215c7db03    3.3 GB    3 hours ago
monotykamary/whiterabbitneo-v1.5a:7b                                               64a30974ef61    4.1 GB    30 hours ago
qingmian/Qwen2.5-7B-CyberSecurity:latest                                           c84bbf74c83e    15 GB     20 hours ago
qwen3:8b                                                                           500a1f067a9f    5.2 GB    2 days ago
